texts,scores
sat back with arms folded would have made us all hostages,0.0
little one can do about it,0.0
remain a risky enterprise,0.0
many and often confusing,0.0
thanks to the taliban regime,0.0
very imperfect,0.0
very well defined and perverse,0.0
reactions of repulsion,0.0
real danger,0.0
would not,0.0
unfortunately,0.0
a bitter pill to swallow,0.0
mired in,0.0
increasingly critical,0.0
caused unease,0.0
criticize,0.0
affront against law and democracy,0.0
new dimension of crime against humanity,0.0
do n't want,0.0
war against islam,0.0
expressed concern,0.0
worried,0.0
worried,0.0
most dangerous enemy,0.0
crime against humanity,0.0
to be seen or to be perceived,0.0
warned,0.0
considered,0.0
could destabilise,0.0
pretext to crack down on legitimate dissent,0.0
"can jeopardise peace and security , law and order",0.0
can create trouble and instability,0.0
opposes,0.0
do n't want,0.0
all these innocent people being killed,0.0
will rise against,0.0
mix up,0.0
at the expense,0.0
disputes between,0.0
mounting concerns,0.0
unequivocally denied,0.0
refusing,0.0
some unpalatable measures,0.0
refusal,0.0
appalling,0.0
has been finding it extremely difficult,0.0
are refusing,0.0
am afraid to say,0.0
self - styled,0.0
have severed ties,0.0
sanctions busting,0.0
no alternative,0.0
sympathize,0.0
concern,0.0
displeasure,0.0
concerns,0.0
lashed out,0.0
looming,0.0
join hands to prevent,0.0
will not be tolerated for long,0.0
already turbulent,0.0
yet another burden,0.0
perpetrators,0.0
disrespect of advice,0.0
crush,0.0
predatory behaviour,0.0
inevitable chaos and war,0.0
assassinations,0.0
blatantly obstructed,0.0
tragedy,0.0
cycle of violence,0.0
deceptive ploys,0.0
total disregard,0.0
turned out to be a fair - weather friend,0.0
feared,0.0
abhorrent,0.0
tragedy,0.0
affected every corner of the earth,0.0
utter defiance,0.0
recipe for disaster,0.0
continued violence and aggression,0.0
persistent and deliberate fuelling,0.0
expansionist,0.0
if tel aviv has not noticed,0.0
opts for brute force,0.0
aggression,0.0
would callously exploit,0.0
intensify and accelerate,0.0
its self - seeking manipulation,0.0
one of the most serious crises of our time,0.0
devastating,0.0
risks,0.0
in order to stop the continuing decline,0.0
refused by,0.0
turned down,0.0
divide and rule,0.0
will take back conditions to their former state of tension,0.0
confiscate the will,0.0
not to deal with,0.0
or so it claims,0.0
to crush,0.0
no more than an improved carbon copy,0.0
has been on edge,0.0
suspicions of,0.0
mutinous,0.0
"affecting their medical , economic , educational , and social life",0.0
trying to use the time factor,0.0
mistake,0.0
like the suffering,0.0
unable to meet the minimum legitimate,0.0
a kind of collective punishment,0.0
heavy burden,0.0
is also reflected,0.0
the only way to peace,0.0
have seen such suffering,0.0
inalienable palestinian rights,0.0
the suffering of,0.0
disregards,0.0
is also working to push,0.0
who brag,0.0
would only complicate things,0.0
largely try to keep as much hegemony,0.0
this suffering,0.0
"is not , in the first place , willing to recognize",0.0
add fuel to the raging fire,0.0
new labyrinths and tunnels,0.0
should not be used to justify,0.0
was concerned,0.0
denied,0.0
an excuse for repression,0.0
undermine,0.0
victim of terrorism,0.0
if there are problems,0.0
clamp down on freedom of expression and legitimate dissent,0.0
warning,0.0
have warned,0.0
widespread problem of torture,0.0
concerns,0.0
no double standards should be pursued here,0.0
worrying trend,0.0
serious,0.0
further criticism,0.0
violations or shortcomings,0.0
use the excuse of,0.0
widespread use of torture,0.0
taking advantage of,0.0
am worried,0.0
to express concerns,0.0
am worried,0.0
express concerns,0.0
crack down,0.0
has denied,0.0
stance,0.0
concern,0.0
ominous phenomenon,0.0
ongoing afghan crisis,0.0
forestalling further oil price declines,0.0
"the fight against terrorism , violence and intrigues",0.0
not going to remain silent,0.0
warned,0.0
a hidden subsidy,0.0
peaceful protests,0.0
we look at a bleak future,0.0
are going to voice their concerns,0.0
everybody jumped without checking whether there was a proper safety net at the bottom,0.0
adverse effects,0.0
must condemn,0.0
claims,0.0
virtually nothing,0.0
the concerns,0.0
rejection,0.0
breach of the very constitution,0.0
fundamentally unfair and unjust,0.0
rendered worthless,0.0
must be banned,0.0
dont want,0.0
reaps all the benefits of mock globalisation,0.0
greenpeace is here to voice the concerns of millions of people,0.0
would be street demonstrations,0.0
to hide from protestors,0.0
does not take any responsibility,0.0
to challenge,0.0
islands will go under,0.0
demonstrations,0.0
biggest global problem we are facing today,0.0
demonstrations,0.0
nations will vanish from the face of earth,0.0
millions of people will have to leave their homes,0.0
such a disadvantageous situation,0.0
unfeasible,0.0
hand it the bill,0.0
will not be a game without risks,0.0
promises are cheap,0.0
prevents,0.0
hand it the bill,0.0
one that would be adversely affected,0.0
would not like,0.0
it has not kept its promises,0.0
delivered a more devastating blow,0.0
grim statistics trotted out,0.0
think,0.0
has no love lost,0.0
incapacity to put crime under control,0.0
more serious and direct challenge,0.0
hostile reception,0.0
more dangerous enemies at home than elsewhere,0.0
represents the pessimistic outlook,0.0
relished the role of cassandra to the philippine national police,0.0
paint a grim picture,0.0
there is a breakdown in law and order,0.0
are less alarming,0.0
have been rubbed on her skin,0.0
the fire is raging at home,0.0
is not in control,0.0
to make this government fail,0.0
is her nemesis,0.0
sap the country's energy,0.0
have issued advisories,0.0
advisories,0.0
bring the government down in turmoil,0.0
has generated anxieties,0.0
paints doomsday scenarios,0.0
is travelling too much,0.0
ca n't be burying its head in the sand,0.0
she has misplaced strategic priorities,0.0
strong perception,0.0
just to embarrass the administration,0.0
predatory,0.0
scandal - mongering,0.0
growing perception,0.0
compatriots,0.0
frighten tourists and investors away,0.0
are as damaging as,0.0
crusader,0.0
he would receive a hostile reception,0.0
raise questions,0.0
fake,0.0
create uncertainties,0.0
warning,0.0
sent alarm bells ringing,0.0
the daunting problem of sparking an economic recovery,0.0
perverse form of nationalist racism,0.0
may also have changed nothing,0.0
nothing would come of a meeting,0.0
is at stake,0.0
was also quite naive,0.0
wanted to ignore economic issues,0.0
in spite of the good offices,0.0
blame for this fruitless effort,0.0
his hands would be empty,0.0
failure would be a foregone conclusion,0.0
stinginess,0.0
waited anxiously,0.0
in the worst sort of way,0.0
it had all been in vain,0.0
can never be just one guilty party,0.0
even went so far,0.0
shortsightedness and irresponsibility,0.0
but those were the us needs,0.0
is also paying the price,0.0
as if not enough,0.0
unable to show a modicum of internal political discipline,0.0
is still taking the cool approach,0.0
realized,0.0
political disadvantage,0.0
confusion,0.0
but,0.0
warned,0.0
with various concerns in mind,0.0
has become irritating,0.0
obvious domestic difficulties,0.0
the leap into the void,0.0
disadvantageous situation,0.0
not the minister's confrontational style,0.0
tendency toward confrontation,0.0
even risking his own future,0.0
not putting their letterhead on anything,0.0
has heightened the suspicion,0.0
concern,0.0
one,0.0
bothers,0.0
loss of credibility,0.0
unlikely,0.0
apparent lack of a strategy,0.0
in a risk zone,0.0
was a deluge of doubts,0.0
could not truly,0.0
stressed,0.0
scourges and social ills,0.0
seriously hindered,0.0
were suffering,0.0
not only,0.0
threatening to further marginalize,0.0
unrealistic,0.0
alienate,0.0
deteriorating with each passing day,0.0
horrors of,0.0
hampering,0.0
highest,0.0
abruptly,0.0
but,0.0
yet,0.0
fears,0.0
danger of being shelved altogether,0.0
negative,0.0
responsible for,0.0
wait - and - see,0.0
``red light'' has been issued,0.0
big challenge,0.0
unmistakable and potentially disastrous,0.0
real,0.0
arduous negotiations,0.0
formidable deadlock,0.0
big challenge,0.0
did not intend to ratify,0.0
seriously threatened,0.0
particularly affected would be,0.0
might even be higher than,0.0
quite a problem,0.0
that safety net will fall apart,0.0
too high,0.0
children in distress,0.0
rocket,0.0
enormous,0.0
admitted,0.0
backed out,0.0
would be handicapped,0.0
heavily damaged,0.0
damaged,0.0
will have to pour a lot of money,0.0
will weaken soon,0.0
was shocked,0.0
was worried,0.0
refusal to accept,0.0
not just any lawbreaking person,0.0
blamed,0.0
they will find themselves on inhospitable ground,0.0
should serve as a warning,0.0
instability,0.0
not at all,0.0
hampering,0.0
fearing,0.0
concerns,0.0
not enough,0.0
not yet,0.0
did not want to give up,0.0
the complaint,0.0
filing the complaint,0.0
refused,0.0
they could be held responsible,0.0
have filed a complaint,0.0
is regarded,0.0
damaging to the state's interests,0.0
filed a complaint,0.0
questions,0.0
have not formed a sufficiently strong alliance,0.0
apathy,0.0
disagreements,0.0
certain apathy,0.0
is considered,0.0
"depriving them of the basic human rights , in contravention of its own constitution",0.0
fear,0.0
to refuse,0.0
chorus of condemnation,0.0
always accuses,0.0
have been divested of many of their basis rights,0.0
a blatant case of discrimination in rights,0.0
under the pretext of security considerations,0.0
severely criticized,0.0
under the pretext of fighting terrorism,0.0
severely criticized and put pressure on,0.0
severely,0.0
under the pretext of fighting terrorism,0.0
in contravention of the country's constitution,0.0
condemned,0.0
voices can not be heard by anyone,0.0
will become much more difficult,0.0
may not receive a fair trial,0.0
swift criticism from,0.0
pretext,0.0
worrying,0.0
excessive,0.0
undermine,0.0
warned,0.0
could not be hollowed out,0.0
concerns,0.0
more severe,0.0
critical voice in,0.0
heavy toll,0.0
is afraid of,0.0
be smooth either,0.0
significantly weakened,0.0
continues to refuse,0.0
repeatedly made outrageous,0.0
far less than,0.0
harm,0.0
excessive,0.0
"weak , developing nation",0.0
stymied,0.0
to protect their own interests,0.0
was critical,0.0
even more difficult,0.0
long way to go,0.0
insufficient,0.0
evade its responsibility,0.0
irresponsible,0.0
higher than any time in the past several hundred thousand years,0.0
played the same tactic again,0.0
mistake,0.0
such an excuse,0.0
warned,0.0
refuse to fulfill its obligations,0.0
disastrous,0.0
very concerned,0.0
absorb such a burden,0.0
excessive,0.0
merely a gesture,0.0
even,0.0
significant,0.0
excuses,0.0
a long road ahead of us,0.0
surge,0.0
disaster,0.0
threaten our society,0.0
deleterious,0.0
if it suddenly proved impossible,0.0
was martyred,0.0
suspected,0.0
resistance,0.0
reminded,0.0
showed little - disguised irritation,0.0
were irritated,0.0
an uneasy atmosphere reigns,0.0
do n't want,0.0
swiftly countermanded by,0.0
foretaste of resistance,0.0
refusing,0.0
brings back bad memories,0.0
has already provoked,0.0
had rebuffed,0.0
ill - disciplined,0.0
retaliate,0.0
declaring a war,0.0
being deterred,0.0
does not want,0.0
does not want,0.0
went it alone,0.0
the opposition,0.0
catering to the interests of the us oil and coal barons,0.0
"if one goes by the us logic , only the us spy plane is permitted to spy at other people's doorsteps",0.0
would not support,0.0
condemnation,0.0
threatened,0.0
hostile regime,0.0
will be regarded by,0.0
strongly condemned,0.0
does not want anything to do with,0.0
refused to apologize,0.0
consistently opposed,0.0
either you are with us or you are with the terrorists,0.0
by flashing a carrot on a stick,0.0
does not want anything to do with,0.0
strongly objected,0.0
refuses,0.0
difficult,0.0
on the rubble of the legitimate palestinian rights,0.0
to remove the legitimacy of,0.0
the sense of frustration,0.0
tragic,0.0
damages the credibility,0.0
ignored,0.0
even impossible,0.0
oppressive measures and activities,0.0
every oppressive or vindictive israeli action,0.0
faltered as a result of israel's intransigence,0.0
to warn,0.0
"and yet it was unable , despite all its forces , weapons , and measures , to achieve full and comprehensive quiet",0.0
to blame,0.0
security revenge,0.0
demands,0.0
unfair,0.0
the destruction,0.0
overlooked,0.0
does not serve the interest of peace,0.0
attempts to suppress,0.0
pretext,0.0
not to exploit the calm,0.0
could bring about a confrontation for power,0.0
 is shrinking,0.0
find nothing positive,0.0
feel,0.0
chavez' incapacity,0.0
oppose,0.0
as bad or worse,0.0
incapable leader,0.0
pessimistic,0.0
pessimistic again,0.0
to the president's misfortune,0.0
are against,0.0
disapproval,0.0
responsible for the country's problems,0.0
perception,0.0
main problems are in the economic area,0.0
are feeling,0.0
are feeling,0.0
rejected,0.0
forceful means,0.0
are blaming,0.0
resounding and sustained fall,0.0
regretted,0.0
condemned,0.0
targeted killing,0.0
injustice,0.0
embark on trampling upon human rights of civilians,0.0
heavy human losses,0.0
bitter experience,0.0
heavy losses,0.0
deplored,0.0
devastating,0.0
certain countries resort to,0.0
prohibition,0.0
expressed concern,0.0
denounced,0.0
force and weapon had the last say,0.0
have also moved to contest,0.0
contesting,0.0
was unconstitutional,0.0
had contested,0.0
are expected,0.0
should not,0.0
makes the republic of china vanish,0.0
"the problem , he went on , is",0.0
failed to give any positive response,0.0
can not accept,0.0
as if they were quarries,0.0
aggressive,0.0
taking advantage of this,0.0
aggressive ambitions,0.0
through a crafty ruse,0.0
pretended,0.0
unstable situation,0.0
infuriated,0.0
the sphere of its domination,0.0
has become tense again,0.0
is adamantly against,0.0
can not,0.0
will employ a crafty trick,0.0
scheme,0.0
it is nothing more,0.0
under the pretext,0.0
due to those who stand in the way of the settlement,0.0
its burning territorial ambition,0.0
more sympathetic,0.0
the desperate fight,0.0
wounding palestinians without hesitation,0.0
took tolls of women and children,0.0
is still bleak,0.0
imperialism is the source of war,0.0
will remain unchanged,0.0
refused,0.0
frustrate,0.0
were insulting to the palestinians,0.0
this is no reason to be optimistic,0.0
territorial ambition,0.0
deliberately,0.0
scheme,0.0
a vassal state,0.0
pretended to be abiding by the decision,0.0
but because of its own national interests,0.0
the disturber of peace,0.0
israel makes itself appear,0.0
dragging its feet,0.0
excuses,0.0
even committed such an atrocious act,0.0
territorial ambition,0.0
is becoming more complicated,0.0
a political stratagem,0.0
the abuse of human rights is rampant,0.0
have their human rights ruthlessly trampled upon,0.0
pretend to be,0.0
deems,0.0
really abuse human rights,0.0
whether the american society is not reverting to the 1960s,0.0
been subjected to abusive language,0.0
went so far,0.0
more often than not,0.0
simply because,0.0
as if it were an adjudicator,0.0
simply because,0.0
more serious with the passage of time,0.0
speak ill,0.0
can never forget,0.0
violation of the palestinian people's human rights,0.0
very serious,0.0
picked a quarrel,0.0
refused to send,0.0
disagreeable,0.0
voices critical,0.0
appeared surprised,0.0
picked a quarrel,0.0
can easily talk,0.0
are wondering,0.0
imperialists and reactionaries,0.0
as if our country had a human rights problem,0.0
to teach a lesson or two,0.0
suffered persecution,0.0
is not qualified,0.0
abusive language,0.0
indifferent,0.0
under the indifferent gaze,0.0
completely isolated,0.0
seem logical .,0.0
extra - judicial liquidations,0.0
terror,0.0
while destroying the instruments of his power,0.0
what would then remain,0.0
like any form of state terrorism,0.0
against all hope,0.0
massacres,0.0
if not the perpetrator of the sabra and shatila massacres,0.0
derived nothing but encouragement,0.0
has no chance of living and developing peacefully,0.0
forced exodus of hundreds of thousands,0.0
everything seems to be collapsing,0.0
government of death,0.0
recognized,0.0
nothing seemed more normal than to settle in someone else's territory,0.0
absolutely impossible,0.0
extremists,0.0
growing frustration,0.0
drive him away,0.0
do not intend,0.0
whom does he think,0.0
could approve,0.0
asked,0.0
policy of terror and death,0.0
eating away,0.0
feeding on the growing frustration,0.0
must no longer be encysted,0.0
expulsion,0.0
has not achieved,0.0
two forms of terrorism fuel each other,0.0
above all contradictory,0.0
injustice suffered,0.0
can anyone believe,0.0
end up like french algeria,0.0
"crushed politically , socially , economically",0.0
to deny,0.0
believe,0.0
still far from equal,0.0
contradictory,0.0
challenges,0.0
now resembles the destruction of the very people,0.0
acknowledged,0.0
compared,0.0
reduced to a series of bantustans,0.0
crimes,0.0
settlement has increased considerably,0.0
what would remain of the ideals,0.0
bin ladin and mullah omar put together,0.0
quarrel,0.0
immediate exploitation,0.0
horrifies,0.0
supposed to be,0.0
policy,0.0
chain reaction,0.0
worthy arguments,0.0
were regrettable,0.0
falls at a bad time,0.0
another setback for the imf,0.0
just as most of the countries that submit to its demands,0.0
struggling,0.0
grave crisis,0.0
nor especially democratic,0.0
good pupils,0.0
was unable to recommend,0.0
incapable,0.0
the problem was disposed of in two hours,0.0
felt,0.0
could not take any risk of ruffling the republicans,0.0
is now condemned,0.0
is the victim of an explosive situation,0.0
are especially critical,0.0
has been dragging along,0.0
neither especially virtuous,0.0
may squander the american taxpayer's money,0.0
find itself an outcast of,0.0
current extremely perilous situation,0.0
serious,0.0
is very concerned,0.0
lies and by deceiving,0.0
throw us from the island,0.0
were considered,0.0
as if it was a greek cypriot republic,0.0
greek dagger that is thrust into the heart of anatolia,0.0
can`t be a minority if there is no nation,0.0
we fought for half of our lives,0.0
a gift to those who stole the cyprus government,0.0
were considered as nonexistent by many countries,0.0
struggle started to annihilate turks in cyprus,0.0
as if it was a minority,0.0
the failure to discuss,0.0
the ideal of a world kingdom,0.0
have all suffered the same fate,0.0
they are able to do whatever they want with countries by means of the imf,0.0
in the hands of the forces of money,0.0
"this country can only be dragged along , but wo n't get anywhere",0.0
criticized,0.0
will not have the same fate as,0.0
these three musketeers,0.0
befallen,0.0
no one has the right to wage war against the history of this nation,0.0
"those who are really behind it all , those who are behind this business , use the imf",0.0
this country can not be brought to prosperity,0.0
charged,0.0
criticizing,0.0
social explosion,0.0
if through him they are able to orient turkey in any way they choose,0.0
experience the same fate,0.0
even though aware of the allegations concerning him,0.0
criticism,0.0
the actual death blow,0.0
fantasy of a world kingdom,0.0
social explosion,0.0
will not be the same as,0.0
that's what happened in argentina,0.0
until the imf brought them to the point of death,0.0
toy with the world in palms of their hands,0.0
criticizing,0.0
to do away with,0.0
it will just be dragged along,0.0
"it delivered that blow , and hit argentina",0.0
claiming,0.0
remain vigilant and are totally committed,0.0
fears,0.0
declined,0.0
declined,0.0
suspected,0.0
suspicions,0.0
believes,0.0
meddling,0.0
am sure,0.0
enemies of venezuela,0.0
it is a futile illusion because it is a lie,0.0
complained,0.0
would not solve the problem,0.0
gave the guerrillas the right,0.0
opinion,0.0
would have happened here,0.0
accusing,0.0
would not find it at all strange,0.0
that four shots would solve the problem,0.0
in turn,0.0
because,0.0
regained,0.0
would venture to assure,0.0
pit against,0.0
that chavez has to be killed,0.0
viewed,0.0
reporting whatever suits them,0.0
meddling,0.0
has warned,0.0
is sure,0.0
charged,0.0
the model to follow,0.0
dangerous situation,0.0
cycle,0.0
rising tension,0.0
very strong concern,0.0
do not,0.0
fear,0.0
disapprove,0.0
against,0.0
disapprove,0.0
refusal to approve,0.0
very painful way,0.0
like when one loses one's virginity and the only solution is to enter a convent,0.0
never enabled,0.0
vulnerable,0.0
ruined,0.0
grew and grew,0.0
before it disappears,0.0
there will always be an argentine risk,0.0
over - financed,0.0
is also the most risky,0.0
devastating,0.0
unbearable burden,0.0
credibility evaporated,0.0
abandoned,0.0
often unfortunately invisible,0.0
the tale today is all the more bitter as it began with such euphoria,0.0
looking back one can see a general lack of vigilance,0.0
recognizes,0.0
show a country on the verge of a civil war,0.0
"an unpredictable , anarchical situation",0.0
sounded alarm bells,0.0
threatens argentine democracy,0.0
is to permit decay,0.0
everything depends,0.0
agree,0.0
to voice his concern,0.0
burn out,0.0
political warning must be heeded,0.0
affirmed,0.0
slowly growing weaker,0.0
is viewed,0.0
would be a disaster,0.0
open,0.0
a very risky scenario,0.0
concern has spread,0.0
disregard,0.0
any step backward for democracy,0.0
hope,0.0
protests,0.0
it is dangerous,0.0
step up,0.0
terrorism,0.0
assassinating citizens it alleges have links to security activities,0.0
provocation,0.0
storming palestinian territories,0.0
too harsh to be tolerated,0.0
imposed on the palestinian people by force for more than 34 years now,0.0
"says it should have a free hand to storm the palestinian areas ; . assassinate or arrest palestinian citizens ; . demolish homes , headquarters , and establishments ; . uproot thousands of trees ; . and besiege cities and villages as it likes",0.0
draw vindictive reactions,0.0
sympathy,0.0
have denied,0.0
arresting innocent citizens,0.0
terrorism,0.0
branding,0.0
provokes,0.0
provocation,0.0
brands,0.0
what occured in the united states on 11 september,0.0
alleges,0.0
israeli government does its utmost to hamper the peace process,0.0
works to abort his mission in advance by,0.0
entrench,0.0
unjustified escalation,0.0
legitimate rejection,0.0
claimed,0.0
expressed alarm,0.0
preying,0.0
claimed,0.0
insulting,0.0
has issued an assassination order,0.0
so - called,0.0
the sound of explosions from 7 - ton bombs,0.0
shadow of this noise,0.0
opposition,0.0
protested,0.0
act of terrorism,0.0
was in fact violating the rights of millions of people throughout the world,0.0
assassination,0.0
its own inhuman behavior,0.0
will put up with,0.0
take justice to pre - historic times,0.0
crushed human rights principles,0.0
will allow,0.0
claiming,0.0
assassinate,0.0
no country,0.0
issued the fatwa,0.0
only reason for this would be,0.0
"without having any proof , reason or documentation",0.0
it can silence,0.0
to be wasted away,0.0
blaming,0.0
understand,0.0
this cruelty,0.0
derail,0.0
accused,0.0
long neglected,0.0
warning,0.0
sad,0.0
the lack of,0.0
nonexistence,0.0
likely to be understaffed,0.0
increasing criticisms,0.0
unjustifiable,0.0
criticisms mainly focus,0.0
are very critical,0.0
can not,0.0
more seriously than anyone would have thought,0.0
under no circumstances,0.0
once looked impossible to win,0.0
comes at a cost,0.0
force himself,0.0
no one but she knew how far she was prepared to go,0.0
marginalized,0.0
is floundering,0.0
"does not , of course , guarantee success",0.0
can not afford,0.0
sacrifice himself,0.0
or even solidarity,0.0
in the lurch,0.0
refusal,0.0
reined in,0.0
thus,0.0
feels itself committed,0.0
is advocating,0.0
is afraid,0.0
are urged,0.0
debate,0.0
every sector's possibilities,0.0
highly unclear,0.0
decisions,0.0
hence,0.0
does not wish,0.0
urgently necessary,0.0
objection,0.0
has refused,0.0
retaliated,0.0
preying,0.0
are feared,0.0
downgrading,0.0
the charges were not just fabricated,0.0
was so hard on,0.0
would go against,0.0
was an affront to the muslim people,0.0
a growing impression that misuari could pose a security threat,0.0
were plotting,0.0
not true,0.0
expressed the same apprehension,0.0
warned,0.0
because of the legal nuances,0.0
went against,0.0
could force,0.0
could trigger a reaction,0.0
protest,0.0
warned,0.0
should be cause for a muslim war,0.0
drew flak from,0.0
warned,0.0
obstacle,0.0
he will be there [in ramallah] for as long as i remain prime minister,0.0
threatened,0.0
ambiguity,0.0
and punish those guilty,0.0
if arafat fails to fulfill them,0.0
claim,0.0
to keep yasser arafat stranded,0.0
accused,0.0
accused of,0.0
these leaks had put his life in danger,0.0
believing,0.0
several occasions,0.0
has denounced,0.0
accused,0.0
having put his life in danger,0.0
is accusing,0.0
is suspected,0.0
complaint,0.0
rejection,0.0
have given proof of illegality and political persecution,0.0
is suspected,0.0
rejected,0.0
putting his life in danger,0.0
violated,0.0
leaks,0.0
terrible equation,0.0
doubly embarrassed,0.0
of all places,0.0
sets a dangerous precedent,0.0
unlawful combatants not entitled to the protection,0.0
inhumane and degrading,0.0
refuses,0.0
vicious battles,0.0
threatens,0.0
staples of police states,0.0
is brazen,0.0
perhaps it is perverse,0.0
are not to be treated like those jailed by the u . s .,0.0
will complain,0.0
is a perverse place,0.0
was an act of war,0.0
deserves whatever he gets,0.0
failure,0.0
think,0.0
are probably not picky,0.0
monstrous criminal outrage,0.0
probably think,0.0
outrages,0.0
would have less leeway,0.0
intense interrogation,0.0
"it becomes , in a weird way , less monstrous",0.0
